idx,ans,blc,imaginal-activation,visual-activation,stim,response,rt
30700,0.3,4.5,2.5,3.0,RIGHT,1,0.548
30700,0.3,4.5,2.5,3.0,RIGHT,1,0.29799998
30700,0.3,4.5,2.5,3.0,RIGHT,1,0.29699993
30700,0.3,4.5,2.5,3.0,RIGHT,1,0.296
30700,0.3,4.5,2.5,3.0,RIGHT,1,0.29699993
30700,0.3,4.5,2.5,3.0,RIGHT,1,0.296
30700,0.3,4.5,2.5,3.0,RIGHT,1,0.29800034
30700,0.3,4.5,2.5,3.0,RIGHT,1,0.29800034
30700,0.3,4.5,2.5,3.0,RIGHT,1,0.29699993
30700,0.3,4.5,2.5,3.0,RIGHT,1,0.29599953
30700,0.3,4.5,2.5,3.0,RIGHT,1,0.30200005
30700,0.3,4.5,2.5,3.0,RIGHT,1,0.29800034
30700,0.3,4.5,2.5,3.0,RIGHT,1,0.29799938
30700,0.3,4.5,2.5,3.0,RIGHT,1,0.2989998
30700,0.3,4.5,2.5,3.0,RIGHT,1,0.29600143
30700,0.3,4.5,2.5,3.0,RIGHT,1,0.2989998
30700,0.3,4.5,2.5,3.0,RIGHT,1,0.29699898
30700,0.3,4.5,2.5,3.0,RIGHT,1,0.29800034
30700,0.3,4.5,2.5,3.0,RIGHT,1,0.29800034
30700,0.3,4.5,2.5,3.0,RIGHT,1,0.29699898
30700,0.3,4.5,2.5,3.0,RIGHT,1,0.29700089
30700,0.3,4.5,2.5,3.0,RIGHT,1,0.3029995
30700,0.3,4.5,2.5,3.0,RIGHT,1,0.29700089
30700,0.3,4.5,2.5,3.0,RIGHT,1,0.29699898
30700,0.3,4.5,2.5,3.0,RIGHT,1,0.29600143
30700,0.3,4.5,2.5,3.0,RIGHT,0,0.40299988
30700,0.3,4.5,2.5,3.0,RIGHT,1,0.3959999
30700,0.3,4.5,2.5,3.0,RIGHT,1,0.29800034
30700,0.3,4.5,2.5,3.0,RIGHT,1,0.29999924
30700,0.3,4.5,2.5,3.0,RIGHT,1,0.2989998
30700,0.3,4.5,2.5,3.0,RIGHT,1,0.3009987
