idx,ans,blc,imaginal-activation,visual-activation,stim,response,rt
36200,0.3,1.0,3.0,4.0,RIGHT,1,0.599
36200,0.3,1.0,3.0,4.0,RIGHT,1,0.42799997
36200,0.3,1.0,3.0,4.0,RIGHT,1,0.36599994
36200,0.3,1.0,3.0,4.0,RIGHT,1,0.342
36200,0.3,1.0,3.0,4.0,RIGHT,1,0.37299967
36200,0.3,1.0,3.0,4.0,RIGHT,0,0.4960003
36200,0.3,1.0,3.0,4.0,RIGHT,1,0.55099964
36200,0.3,1.0,3.0,4.0,RIGHT,1,0.47300053
36200,0.3,1.0,3.0,4.0,RIGHT,1,0.3699999
36200,0.3,1.0,3.0,4.0,RIGHT,1,0.4329996
36200,0.3,1.0,3.0,4.0,RIGHT,1,0.31599998
36200,0.3,1.0,3.0,4.0,RIGHT,1,0.33300018
36200,0.3,1.0,3.0,4.0,RIGHT,1,0.335001
36200,0.3,1.0,3.0,4.0,RIGHT,1,0.35099983
36200,0.3,1.0,3.0,4.0,RIGHT,1,0.32799911
36200,0.3,1.0,3.0,4.0,RIGHT,1,0.33300018
36200,0.3,1.0,3.0,4.0,RIGHT,1,0.30999947
36200,0.3,1.0,3.0,4.0,RIGHT,1,0.33800125
36200,0.3,1.0,3.0,4.0,RIGHT,1,0.3809986
36200,0.3,1.0,3.0,4.0,RIGHT,1,0.36400032
36200,0.3,1.0,3.0,4.0,RIGHT,1,0.37800026
36200,0.3,1.0,3.0,4.0,RIGHT,1,0.43700027
36200,0.3,1.0,3.0,4.0,RIGHT,1,0.35000038
36200,0.3,1.0,3.0,4.0,RIGHT,1,0.31900024
36200,0.3,1.0,3.0,4.0,RIGHT,1,0.34199905
36200,0.3,1.0,3.0,4.0,RIGHT,1,0.32899857
36200,0.3,1.0,3.0,4.0,RIGHT,1,0.33200073
36200,0.3,1.0,3.0,4.0,RIGHT,1,0.32300186
36200,0.3,1.0,3.0,4.0,RIGHT,0,0.48999786
36200,0.3,1.0,3.0,4.0,RIGHT,1,0.43600082
36200,0.3,1.0,3.0,4.0,RIGHT,1,0.31900024
36200,0.3,1.0,3.0,4.0,RIGHT,1,0.3540001
36200,0.3,1.0,3.0,4.0,RIGHT,1,0.3429985
36200,0.3,1.0,3.0,4.0,RIGHT,1,0.51000214
36200,0.3,1.0,3.0,4.0,RIGHT,1,0.36899948
36200,0.3,1.0,3.0,4.0,RIGHT,1,0.3429985
36200,0.3,1.0,3.0,4.0,RIGHT,1,0.34900284
36200,0.3,1.0,3.0,4.0,RIGHT,1,0.3389969
36200,0.3,1.0,3.0,4.0,RIGHT,1,0.6040001
36200,0.3,1.0,3.0,4.0,RIGHT,1,0.37200165
36200,0.3,1.0,3.0,4.0,RIGHT,1,0.31700134
36200,0.3,1.0,3.0,4.0,RIGHT,1,0.3599968
36200,0.3,1.0,3.0,4.0,RIGHT,1,0.3500023
36200,0.3,1.0,3.0,4.0,RIGHT,1,0.3579979
36200,0.3,1.0,3.0,4.0,RIGHT,1,0.34000015
36200,0.3,1.0,3.0,4.0,RIGHT,1,0.3880005
36200,0.3,1.0,3.0,4.0,RIGHT,1,0.37700272
36200,0.3,1.0,3.0,4.0,RIGHT,1,0.3560028
36200,0.3,1.0,3.0,4.0,RIGHT,1,0.31900024
36200,0.3,1.0,3.0,4.0,RIGHT,1,0.3730011
36200,0.3,1.0,3.0,4.0,RIGHT,1,0.40100098
36200,0.3,1.0,3.0,4.0,RIGHT,1,0.3659973
36200,0.3,1.0,3.0,4.0,RIGHT,1,0.39499664
36200,0.3,1.0,3.0,4.0,RIGHT,1,0.3199997
36200,0.3,1.0,3.0,4.0,RIGHT,1,0.34799957
36200,0.3,1.0,3.0,4.0,RIGHT,1,0.37900543
36200,0.3,1.0,3.0,4.0,RIGHT,1,0.31900024
36200,0.3,1.0,3.0,4.0,RIGHT,1,0.33499908
36200,0.3,1.0,3.0,4.0,RIGHT,1,0.34700012
36200,0.3,1.0,3.0,4.0,RIGHT,1,0.3600006
36200,0.3,1.0,3.0,4.0,RIGHT,1,0.33999634
36200,0.3,1.0,3.0,4.0,RIGHT,1,0.4110031
36200,0.3,1.0,3.0,4.0,RIGHT,1,0.3580017
36200,0.3,1.0,3.0,4.0,RIGHT,1,0.51599884
36200,0.3,1.0,3.0,4.0,RIGHT,1,0.5319977
36200,0.3,1.0,3.0,4.0,RIGHT,1,0.3939972
36200,0.3,1.0,3.0,4.0,RIGHT,1,0.37200165
36200,0.3,1.0,3.0,4.0,RIGHT,1,0.35700226
36200,0.3,1.0,3.0,4.0,RIGHT,1,0.35099792
36200,0.3,1.0,3.0,4.0,RIGHT,1,0.36499786
36200,0.3,1.0,3.0,4.0,RIGHT,1,0.31300354
36200,0.3,1.0,3.0,4.0,RIGHT,1,0.3600006
36200,0.3,1.0,3.0,4.0,RIGHT,1,0.35199738
36200,0.3,1.0,3.0,4.0,RIGHT,1,0.40100098
36200,0.3,1.0,3.0,4.0,RIGHT,1,0.4370041
36200,0.3,1.0,3.0,4.0,RIGHT,1,0.35699463
36200,0.3,1.0,3.0,4.0,RIGHT,1,0.56700134
36200,0.3,1.0,3.0,4.0,RIGHT,1,0.33900452
36200,0.3,1.0,3.0,4.0,RIGHT,1,0.35399628
36200,0.3,1.0,3.0,4.0,RIGHT,1,0.31500244
36200,0.3,1.0,3.0,4.0,RIGHT,1,0.34500122
36200,0.3,1.0,3.0,4.0,RIGHT,1,0.34899902
36200,0.3,1.0,3.0,4.0,RIGHT,1,0.35599518
36200,0.3,1.0,3.0,4.0,RIGHT,1,0.33700562
36200,0.3,1.0,3.0,4.0,RIGHT,1,0.35299683
36200,0.3,1.0,3.0,4.0,RIGHT,1,0.36100006
36200,0.3,1.0,3.0,4.0,RIGHT,1,0.34799957
36200,0.3,1.0,3.0,4.0,RIGHT,1,0.34700012
36200,0.3,1.0,3.0,4.0,RIGHT,1,0.3050003
36200,0.3,1.0,3.0,4.0,RIGHT,1,0.35399628
36200,0.3,1.0,3.0,4.0,RIGHT,1,0.33600616
36200,0.3,1.0,3.0,4.0,RIGHT,1,0.375
36200,0.3,1.0,3.0,4.0,RIGHT,1,0.3279953
36200,0.3,1.0,3.0,4.0,RIGHT,1,0.3580017
36200,0.3,1.0,3.0,4.0,RIGHT,1,0.5079956
36200,0.3,1.0,3.0,4.0,RIGHT,1,0.3690033
36200,0.3,1.0,3.0,4.0,RIGHT,1,0.34500122
36200,0.3,1.0,3.0,4.0,RIGHT,1,0.31300354
36200,0.3,1.0,3.0,4.0,RIGHT,1,0.3690033
36200,0.3,1.0,3.0,4.0,RIGHT,1,0.33599854
36200,0.3,1.0,3.0,4.0,RIGHT,1,0.33699036
36200,0.3,1.0,3.0,4.0,RIGHT,1,0.355011
36200,0.3,1.0,3.0,4.0,RIGHT,1,0.3889923
36200,0.3,1.0,3.0,4.0,RIGHT,1,0.3710022
36200,0.3,1.0,3.0,4.0,RIGHT,1,0.3560028
36200,0.3,1.0,3.0,4.0,RIGHT,0,0.44799805
36200,0.3,1.0,3.0,4.0,RIGHT,1,0.46899414
36200,0.3,1.0,3.0,4.0,RIGHT,1,0.3580017
36200,0.3,1.0,3.0,4.0,RIGHT,1,0.3840027
36200,0.3,1.0,3.0,4.0,RIGHT,1,0.397995
36200,0.3,1.0,3.0,4.0,RIGHT,1,0.3769989
36200,0.3,1.0,3.0,4.0,RIGHT,1,0.3580017
36200,0.3,1.0,3.0,4.0,RIGHT,1,0.3420105
36200,0.3,1.0,3.0,4.0,RIGHT,1,0.7799988
36200,0.3,1.0,3.0,4.0,RIGHT,1,0.36698914
36200,0.3,1.0,3.0,4.0,RIGHT,1,0.3619995
36200,0.3,1.0,3.0,4.0,RIGHT,1,0.33900452
36200,0.3,1.0,3.0,4.0,RIGHT,1,0.34100342
36200,0.3,1.0,3.0,4.0,RIGHT,1,0.3899994
36200,0.3,1.0,3.0,4.0,RIGHT,1,0.3650055
36200,0.3,1.0,3.0,4.0,RIGHT,1,0.34199524
36200,0.3,1.0,3.0,4.0,RIGHT,1,0.40299988
36200,0.3,1.0,3.0,4.0,RIGHT,1,0.39300537
36200,0.3,1.0,3.0,4.0,RIGHT,1,0.375
36200,0.3,1.0,3.0,4.0,RIGHT,1,0.34498596
36200,0.3,1.0,3.0,4.0,RIGHT,1,0.49501038
36200,0.3,1.0,3.0,4.0,RIGHT,1,0.3690033
36200,0.3,1.0,3.0,4.0,RIGHT,1,0.38598633
36200,0.3,1.0,3.0,4.0,RIGHT,1,0.31100464
36200,0.3,1.0,3.0,4.0,RIGHT,1,0.3590088
36200,0.3,1.0,3.0,4.0,RIGHT,1,0.30599976
36200,0.3,1.0,3.0,4.0,RIGHT,1,0.5629883
36200,0.3,1.0,3.0,4.0,RIGHT,1,0.39401245
36200,0.3,1.0,3.0,4.0,RIGHT,1,0.35099792
36200,0.3,1.0,3.0,4.0,RIGHT,1,0.397995
36200,0.3,1.0,3.0,4.0,RIGHT,1,0.35899353
36200,0.3,1.0,3.0,4.0,RIGHT,1,0.3500061
36200,0.3,1.0,3.0,4.0,RIGHT,1,0.3540039
36200,0.3,1.0,3.0,4.0,RIGHT,1,0.46199036
36200,0.3,1.0,3.0,4.0,RIGHT,1,0.37001038
36200,0.3,1.0,3.0,4.0,RIGHT,1,0.33399963
36200,0.3,1.0,3.0,4.0,RIGHT,1,0.35899353
