idx,ans,blc,imaginal-activation,visual-activation,stim,response,rt
4300,0.4,5.0,5.0,0.0,RIGHT,1,0.545
4300,0.4,5.0,5.0,0.0,RIGHT,1,0.296
4300,0.4,5.0,5.0,0.0,RIGHT,1,0.29699993
4300,0.4,5.0,5.0,0.0,RIGHT,1,0.29500008
4300,0.4,5.0,5.0,0.0,RIGHT,1,0.29500008
4300,0.4,5.0,5.0,0.0,RIGHT,1,0.2949996
4300,0.4,5.0,5.0,0.0,RIGHT,1,0.29500008
4300,0.4,5.0,5.0,0.0,RIGHT,1,0.29600048
4300,0.4,5.0,5.0,0.0,RIGHT,1,0.29599953
4300,0.4,5.0,5.0,0.0,RIGHT,1,0.29600048
4300,0.4,5.0,5.0,0.0,RIGHT,1,0.29500008
4300,0.4,5.0,5.0,0.0,RIGHT,1,0.29599953
4300,0.4,5.0,5.0,0.0,RIGHT,1,0.29499912
4300,0.4,5.0,5.0,0.0,RIGHT,1,0.29500008
4300,0.4,5.0,5.0,0.0,RIGHT,1,0.29600143
4300,0.4,5.0,5.0,0.0,RIGHT,1,0.29599953
4300,0.4,5.0,5.0,0.0,RIGHT,1,0.29500008
4300,0.4,5.0,5.0,0.0,RIGHT,1,0.29599953
4300,0.4,5.0,5.0,0.0,RIGHT,1,0.29599953
4300,0.4,5.0,5.0,0.0,RIGHT,1,0.29600143
4300,0.4,5.0,5.0,0.0,RIGHT,1,0.29500008
4300,0.4,5.0,5.0,0.0,RIGHT,1,0.29500008
4300,0.4,5.0,5.0,0.0,RIGHT,1,0.29599953
4300,0.4,5.0,5.0,0.0,RIGHT,1,0.29500008
4300,0.4,5.0,5.0,0.0,RIGHT,1,0.29500008
4300,0.4,5.0,5.0,0.0,RIGHT,1,0.29499817
4300,0.4,5.0,5.0,0.0,RIGHT,1,0.29500198
4300,0.4,5.0,5.0,0.0,RIGHT,1,0.29499817
4300,0.4,5.0,5.0,0.0,RIGHT,1,0.29600143
4300,0.4,5.0,5.0,0.0,RIGHT,1,0.29600143
4300,0.4,5.0,5.0,0.0,RIGHT,1,0.29599762
4300,0.4,5.0,5.0,0.0,RIGHT,1,0.29500198
4300,0.4,5.0,5.0,0.0,RIGHT,1,0.29499817
4300,0.4,5.0,5.0,0.0,RIGHT,1,0.29600143
4300,0.4,5.0,5.0,0.0,RIGHT,1,0.29499817
4300,0.4,5.0,5.0,0.0,RIGHT,1,0.29500198
4300,0.4,5.0,5.0,0.0,RIGHT,1,0.29499817
4300,0.4,5.0,5.0,0.0,RIGHT,1,0.29500198
4300,0.4,5.0,5.0,0.0,RIGHT,1,0.29499817
4300,0.4,5.0,5.0,0.0,RIGHT,1,0.29500198
4300,0.4,5.0,5.0,0.0,RIGHT,1,0.29499817
4300,0.4,5.0,5.0,0.0,RIGHT,1,0.29600143
4300,0.4,5.0,5.0,0.0,RIGHT,1,0.29599762
4300,0.4,5.0,5.0,0.0,RIGHT,1,0.29500198
4300,0.4,5.0,5.0,0.0,RIGHT,1,0.29599762
4300,0.4,5.0,5.0,0.0,RIGHT,1,0.29500198
4300,0.4,5.0,5.0,0.0,RIGHT,1,0.29499817
4300,0.4,5.0,5.0,0.0,RIGHT,1,0.29500198
4300,0.4,5.0,5.0,0.0,RIGHT,1,0.29499817
4300,0.4,5.0,5.0,0.0,RIGHT,1,0.29499817
4300,0.4,5.0,5.0,0.0,RIGHT,1,0.2950058
4300,0.4,5.0,5.0,0.0,RIGHT,1,0.29499817
4300,0.4,5.0,5.0,0.0,RIGHT,1,0.29599762
4300,0.4,5.0,5.0,0.0,RIGHT,1,0.29600525
4300,0.4,5.0,5.0,0.0,RIGHT,1,0.29499817
4300,0.4,5.0,5.0,0.0,RIGHT,1,0.29599762
4300,0.4,5.0,5.0,0.0,RIGHT,1,0.29499817
4300,0.4,5.0,5.0,0.0,RIGHT,1,0.2950058
4300,0.4,5.0,5.0,0.0,RIGHT,1,0.29599762
4300,0.4,5.0,5.0,0.0,RIGHT,1,0.29499817
4300,0.4,5.0,5.0,0.0,RIGHT,1,0.29599762
4300,0.4,5.0,5.0,0.0,RIGHT,1,0.2950058
4300,0.4,5.0,5.0,0.0,RIGHT,1,0.29599762
4300,0.4,5.0,5.0,0.0,RIGHT,1,0.29499817
4300,0.4,5.0,5.0,0.0,RIGHT,1,0.29600525
4300,0.4,5.0,5.0,0.0,RIGHT,1,0.29499817
4300,0.4,5.0,5.0,0.0,RIGHT,1,0.29599762
4300,0.4,5.0,5.0,0.0,RIGHT,1,0.29499817
4300,0.4,5.0,5.0,0.0,RIGHT,1,0.2950058
4300,0.4,5.0,5.0,0.0,RIGHT,1,0.29499817
4300,0.4,5.0,5.0,0.0,RIGHT,1,0.29499817
4300,0.4,5.0,5.0,0.0,RIGHT,1,0.29499817
4300,0.4,5.0,5.0,0.0,RIGHT,1,0.29600525
4300,0.4,5.0,5.0,0.0,RIGHT,1,0.29599762
4300,0.4,5.0,5.0,0.0,RIGHT,1,0.29499817
4300,0.4,5.0,5.0,0.0,RIGHT,1,0.29499817
4300,0.4,5.0,5.0,0.0,RIGHT,1,0.2950058
4300,0.4,5.0,5.0,0.0,RIGHT,1,0.29499817
4300,0.4,5.0,5.0,0.0,RIGHT,1,0.29599762
4300,0.4,5.0,5.0,0.0,RIGHT,1,0.29499817
4300,0.4,5.0,5.0,0.0,RIGHT,1,0.2950058
4300,0.4,5.0,5.0,0.0,RIGHT,1,0.29599762
4300,0.4,5.0,5.0,0.0,RIGHT,1,0.29499817
4300,0.4,5.0,5.0,0.0,RIGHT,1,0.29499817
4300,0.4,5.0,5.0,0.0,RIGHT,1,0.2950058
4300,0.4,5.0,5.0,0.0,RIGHT,1,0.29499817
4300,0.4,5.0,5.0,0.0,RIGHT,1,0.29499817
4300,0.4,5.0,5.0,0.0,RIGHT,1,0.29499817
4300,0.4,5.0,5.0,0.0,RIGHT,1,0.2950058
4300,0.4,5.0,5.0,0.0,RIGHT,1,0.29499817
4300,0.4,5.0,5.0,0.0,RIGHT,1,0.29499817
4300,0.4,5.0,5.0,0.0,RIGHT,1,0.29599762
4300,0.4,5.0,5.0,0.0,RIGHT,1,0.29600525
4300,0.4,5.0,5.0,0.0,RIGHT,1,0.29599762
4300,0.4,5.0,5.0,0.0,RIGHT,1,0.29499817
4300,0.4,5.0,5.0,0.0,RIGHT,1,0.29600525
4300,0.4,5.0,5.0,0.0,RIGHT,1,0.29599762
4300,0.4,5.0,5.0,0.0,RIGHT,1,0.29499817
4300,0.4,5.0,5.0,0.0,RIGHT,1,0.29599762
4300,0.4,5.0,5.0,0.0,RIGHT,1,0.29499817
4300,0.4,5.0,5.0,0.0,RIGHT,1,0.29701233
4300,0.4,5.0,5.0,0.0,RIGHT,1,0.29599
4300,0.4,5.0,5.0,0.0,RIGHT,1,0.29600525
4300,0.4,5.0,5.0,0.0,RIGHT,1,0.29499817
4300,0.4,5.0,5.0,0.0,RIGHT,1,0.29499817
4300,0.4,5.0,5.0,0.0,RIGHT,1,0.29499817
4300,0.4,5.0,5.0,0.0,RIGHT,1,0.29499817
4300,0.4,5.0,5.0,0.0,RIGHT,1,0.29600525
4300,0.4,5.0,5.0,0.0,RIGHT,1,0.29499817
4300,0.4,5.0,5.0,0.0,RIGHT,1,0.29499817
4300,0.4,5.0,5.0,0.0,RIGHT,1,0.29499817
4300,0.4,5.0,5.0,0.0,RIGHT,1,0.29499817
4300,0.4,5.0,5.0,0.0,RIGHT,1,0.29600525
4300,0.4,5.0,5.0,0.0,RIGHT,1,0.29499817
4300,0.4,5.0,5.0,0.0,RIGHT,1,0.29499817
4300,0.4,5.0,5.0,0.0,RIGHT,1,0.29501343
4300,0.4,5.0,5.0,0.0,RIGHT,1,0.29499817
4300,0.4,5.0,5.0,0.0,RIGHT,1,0.29499817
4300,0.4,5.0,5.0,0.0,RIGHT,1,0.29499817
4300,0.4,5.0,5.0,0.0,RIGHT,1,0.29600525
4300,0.4,5.0,5.0,0.0,RIGHT,1,0.2979889
4300,0.4,5.0,5.0,0.0,RIGHT,1,0.29699707
4300,0.4,5.0,5.0,0.0,RIGHT,1,0.29600525
4300,0.4,5.0,5.0,0.0,RIGHT,1,0.29600525
4300,0.4,5.0,5.0,0.0,RIGHT,1,0.29499817
4300,0.4,5.0,5.0,0.0,RIGHT,1,0.29499817
4300,0.4,5.0,5.0,0.0,RIGHT,1,0.29499817
4300,0.4,5.0,5.0,0.0,RIGHT,1,0.29499817
4300,0.4,5.0,5.0,0.0,RIGHT,1,0.29499817
4300,0.4,5.0,5.0,0.0,RIGHT,1,0.29499817
4300,0.4,5.0,5.0,0.0,RIGHT,1,0.29501343
4300,0.4,5.0,5.0,0.0,RIGHT,1,0.29499817
4300,0.4,5.0,5.0,0.0,RIGHT,1,0.29499817
4300,0.4,5.0,5.0,0.0,RIGHT,1,0.29499817
4300,0.4,5.0,5.0,0.0,RIGHT,1,0.29600525
4300,0.4,5.0,5.0,0.0,RIGHT,1,0.29499817
4300,0.4,5.0,5.0,0.0,RIGHT,1,0.29599
4300,0.4,5.0,5.0,0.0,RIGHT,1,0.29501343
4300,0.4,5.0,5.0,0.0,RIGHT,1,0.29499817
4300,0.4,5.0,5.0,0.0,RIGHT,1,0.29499817
4300,0.4,5.0,5.0,0.0,RIGHT,1,0.29499817
4300,0.4,5.0,5.0,0.0,RIGHT,1,0.29499817
4300,0.4,5.0,5.0,0.0,RIGHT,1,0.29600525
4300,0.4,5.0,5.0,0.0,RIGHT,1,0.29499817
4300,0.4,5.0,5.0,0.0,RIGHT,1,0.29499817
4300,0.4,5.0,5.0,0.0,RIGHT,1,0.29499817
4300,0.4,5.0,5.0,0.0,RIGHT,1,0.29499817
4300,0.4,5.0,5.0,0.0,RIGHT,1,0.29499817
4300,0.4,5.0,5.0,0.0,RIGHT,1,0.29499817
4300,0.4,5.0,5.0,0.0,RIGHT,1,0.29499817
4300,0.4,5.0,5.0,0.0,RIGHT,1,0.29501343
4300,0.4,5.0,5.0,0.0,RIGHT,1,0.29499817
4300,0.4,5.0,5.0,0.0,RIGHT,1,0.29499817
4300,0.4,5.0,5.0,0.0,RIGHT,1,0.29499817
4300,0.4,5.0,5.0,0.0,RIGHT,1,0.29499817
4300,0.4,5.0,5.0,0.0,RIGHT,1,0.29600525
4300,0.4,5.0,5.0,0.0,RIGHT,1,0.29499817
4300,0.4,5.0,5.0,0.0,RIGHT,1,0.29499817
4300,0.4,5.0,5.0,0.0,RIGHT,1,0.29699707
4300,0.4,5.0,5.0,0.0,RIGHT,1,0.29499817
4300,0.4,5.0,5.0,0.0,RIGHT,1,0.29499817
4300,0.4,5.0,5.0,0.0,RIGHT,1,0.29501343
4300,0.4,5.0,5.0,0.0,RIGHT,1,0.29499817
4300,0.4,5.0,5.0,0.0,RIGHT,1,0.29499817
4300,0.4,5.0,5.0,0.0,RIGHT,1,0.29499817
4300,0.4,5.0,5.0,0.0,RIGHT,1,0.29600525
4300,0.4,5.0,5.0,0.0,RIGHT,1,0.29499817
4300,0.4,5.0,5.0,0.0,RIGHT,1,0.29499817
4300,0.4,5.0,5.0,0.0,RIGHT,1,0.29499817
4300,0.4,5.0,5.0,0.0,RIGHT,1,0.29499817
4300,0.4,5.0,5.0,0.0,RIGHT,1,0.30099487
4300,0.4,5.0,5.0,0.0,RIGHT,1,0.29499817
4300,0.4,5.0,5.0,0.0,RIGHT,1,0.29600525
4300,0.4,5.0,5.0,0.0,RIGHT,1,0.29499817
4300,0.4,5.0,5.0,0.0,RIGHT,1,0.29499817
4300,0.4,5.0,5.0,0.0,RIGHT,1,0.29499817
4300,0.4,5.0,5.0,0.0,RIGHT,1,0.29501343
4300,0.4,5.0,5.0,0.0,RIGHT,1,0.29699707
4300,0.4,5.0,5.0,0.0,RIGHT,1,0.29499817
4300,0.4,5.0,5.0,0.0,RIGHT,1,0.29499817
4300,0.4,5.0,5.0,0.0,RIGHT,1,0.29499817
4300,0.4,5.0,5.0,0.0,RIGHT,1,0.29499817
4300,0.4,5.0,5.0,0.0,RIGHT,1,0.29499817
4300,0.4,5.0,5.0,0.0,RIGHT,1,0.29501343
4300,0.4,5.0,5.0,0.0,RIGHT,1,0.29499817
4300,0.4,5.0,5.0,0.0,RIGHT,1,0.29499817
4300,0.4,5.0,5.0,0.0,RIGHT,1,0.29599
4300,0.4,5.0,5.0,0.0,RIGHT,1,0.29501343
4300,0.4,5.0,5.0,0.0,RIGHT,1,0.29599
4300,0.4,5.0,5.0,0.0,RIGHT,1,0.29600525
4300,0.4,5.0,5.0,0.0,RIGHT,1,0.29600525
4300,0.4,5.0,5.0,0.0,RIGHT,1,0.29499817
4300,0.4,5.0,5.0,0.0,RIGHT,1,0.29599
4300,0.4,5.0,5.0,0.0,RIGHT,1,0.29499817
4300,0.4,5.0,5.0,0.0,RIGHT,1,0.29501343
4300,0.4,5.0,5.0,0.0,RIGHT,1,0.29599
4300,0.4,5.0,5.0,0.0,RIGHT,1,0.29499817
4300,0.4,5.0,5.0,0.0,RIGHT,1,0.29499817
4300,0.4,5.0,5.0,0.0,RIGHT,1,0.2949829
4300,0.4,5.0,5.0,0.0,RIGHT,1,0.29501343
4301,0.4,5.0,5.0,0.0,RIGHT,1,0.546
4301,0.4,5.0,5.0,0.0,RIGHT,1,0.29499996
4301,0.4,5.0,5.0,0.0,RIGHT,1,0.296
4301,0.4,5.0,5.0,0.0,RIGHT,1,0.29500008
4301,0.4,5.0,5.0,0.0,RIGHT,1,0.296
4301,0.4,5.0,5.0,0.0,RIGHT,0,0.3959999
4301,0.4,5.0,5.0,0.0,RIGHT,1,0.39500046
4301,0.4,5.0,5.0,0.0,RIGHT,1,0.29500008
4301,0.4,5.0,5.0,0.0,RIGHT,1,0.29500008
4301,0.4,5.0,5.0,0.0,RIGHT,1,0.29500008
4301,0.4,5.0,5.0,0.0,RIGHT,1,0.29500008
4301,0.4,5.0,5.0,0.0,RIGHT,1,0.29599953
4301,0.4,5.0,5.0,0.0,RIGHT,1,0.29500103
4301,0.4,5.0,5.0,0.0,RIGHT,1,0.29599953
4301,0.4,5.0,5.0,0.0,RIGHT,1,0.29500008
4301,0.4,5.0,5.0,0.0,RIGHT,1,0.29500008
4301,0.4,5.0,5.0,0.0,RIGHT,1,0.29599953
4301,0.4,5.0,5.0,0.0,RIGHT,1,0.29500008
4301,0.4,5.0,5.0,0.0,RIGHT,1,0.29599953
4301,0.4,5.0,5.0,0.0,RIGHT,1,0.29599953
4301,0.4,5.0,5.0,0.0,RIGHT,1,0.29500008
4301,0.4,5.0,5.0,0.0,RIGHT,1,0.29500008
4301,0.4,5.0,5.0,0.0,RIGHT,1,0.29500008
4301,0.4,5.0,5.0,0.0,RIGHT,1,0.29500008
4301,0.4,5.0,5.0,0.0,RIGHT,1,0.29599953
4301,0.4,5.0,5.0,0.0,RIGHT,1,0.29500198
4301,0.4,5.0,5.0,0.0,RIGHT,1,0.29499817
4301,0.4,5.0,5.0,0.0,RIGHT,1,0.29500198
4301,0.4,5.0,5.0,0.0,RIGHT,1,0.29499817
4301,0.4,5.0,5.0,0.0,RIGHT,1,0.29500198
4301,0.4,5.0,5.0,0.0,RIGHT,1,0.29499817
4301,0.4,5.0,5.0,0.0,RIGHT,1,0.29500198
4301,0.4,5.0,5.0,0.0,RIGHT,1,0.29499817
4301,0.4,5.0,5.0,0.0,RIGHT,1,0.29600143
4301,0.4,5.0,5.0,0.0,RIGHT,1,0.29499817
4301,0.4,5.0,5.0,0.0,RIGHT,1,0.29500198
4301,0.4,5.0,5.0,0.0,RIGHT,1,0.29499817
4301,0.4,5.0,5.0,0.0,RIGHT,1,0.29600143
4301,0.4,5.0,5.0,0.0,RIGHT,1,0.29499817
4301,0.4,5.0,5.0,0.0,RIGHT,1,0.29500198
4301,0.4,5.0,5.0,0.0,RIGHT,1,0.29499817
4301,0.4,5.0,5.0,0.0,RIGHT,1,0.29500198
4301,0.4,5.0,5.0,0.0,RIGHT,1,0.29499817
4301,0.4,5.0,5.0,0.0,RIGHT,1,0.29500198
4301,0.4,5.0,5.0,0.0,RIGHT,1,0.29599762
4301,0.4,5.0,5.0,0.0,RIGHT,1,0.29500198
4301,0.4,5.0,5.0,0.0,RIGHT,1,0.29499817
4301,0.4,5.0,5.0,0.0,RIGHT,1,0.29500198
4301,0.4,5.0,5.0,0.0,RIGHT,1,0.29499817
4301,0.4,5.0,5.0,0.0,RIGHT,1,0.29499817
4301,0.4,5.0,5.0,0.0,RIGHT,1,0.29600525
4301,0.4,5.0,5.0,0.0,RIGHT,1,0.29499817
4301,0.4,5.0,5.0,0.0,RIGHT,1,0.29499817
4301,0.4,5.0,5.0,0.0,RIGHT,1,0.29599762
4301,0.4,5.0,5.0,0.0,RIGHT,1,0.2950058
4301,0.4,5.0,5.0,0.0,RIGHT,1,0.29699707
4301,0.4,5.0,5.0,0.0,RIGHT,1,0.29499817
4301,0.4,5.0,5.0,0.0,RIGHT,1,0.2950058
4301,0.4,5.0,5.0,0.0,RIGHT,1,0.29499817
4301,0.4,5.0,5.0,0.0,RIGHT,1,0.29499817
4301,0.4,5.0,5.0,0.0,RIGHT,1,0.29499817
4301,0.4,5.0,5.0,0.0,RIGHT,1,0.2950058
4301,0.4,5.0,5.0,0.0,RIGHT,1,0.29599762
4301,0.4,5.0,5.0,0.0,RIGHT,1,0.29499817
4301,0.4,5.0,5.0,0.0,RIGHT,1,0.29599762
4301,0.4,5.0,5.0,0.0,RIGHT,1,0.2950058
4301,0.4,5.0,5.0,0.0,RIGHT,1,0.29599762
4301,0.4,5.0,5.0,0.0,RIGHT,1,0.29499817
4301,0.4,5.0,5.0,0.0,RIGHT,1,0.29599762
4301,0.4,5.0,5.0,0.0,RIGHT,1,0.29600525
4301,0.4,5.0,5.0,0.0,RIGHT,1,0.29599762
4301,0.4,5.0,5.0,0.0,RIGHT,1,0.29499817
4301,0.4,5.0,5.0,0.0,RIGHT,1,0.29600525
4301,0.4,5.0,5.0,0.0,RIGHT,1,0.29499817
4301,0.4,5.0,5.0,0.0,RIGHT,1,0.29499817
4301,0.4,5.0,5.0,0.0,RIGHT,1,0.29499817
4301,0.4,5.0,5.0,0.0,RIGHT,1,0.2950058
4301,0.4,5.0,5.0,0.0,RIGHT,1,0.29499817
4301,0.4,5.0,5.0,0.0,RIGHT,1,0.29599762
4301,0.4,5.0,5.0,0.0,RIGHT,1,0.29499817
4301,0.4,5.0,5.0,0.0,RIGHT,1,0.2950058
4301,0.4,5.0,5.0,0.0,RIGHT,1,0.29499817
4301,0.4,5.0,5.0,0.0,RIGHT,1,0.29499817
4301,0.4,5.0,5.0,0.0,RIGHT,1,0.29499817
4301,0.4,5.0,5.0,0.0,RIGHT,1,0.2950058
4301,0.4,5.0,5.0,0.0,RIGHT,1,0.29599762
4301,0.4,5.0,5.0,0.0,RIGHT,1,0.29599762
4301,0.4,5.0,5.0,0.0,RIGHT,1,0.29499817
4301,0.4,5.0,5.0,0.0,RIGHT,1,0.2950058
4301,0.4,5.0,5.0,0.0,RIGHT,1,0.29499817
4301,0.4,5.0,5.0,0.0,RIGHT,1,0.29599762
4301,0.4,5.0,5.0,0.0,RIGHT,1,0.29499817
4301,0.4,5.0,5.0,0.0,RIGHT,1,0.29600525
4301,0.4,5.0,5.0,0.0,RIGHT,1,0.29499817
4301,0.4,5.0,5.0,0.0,RIGHT,1,0.29499817
4301,0.4,5.0,5.0,0.0,RIGHT,1,0.2950058
4301,0.4,5.0,5.0,0.0,RIGHT,1,0.29599762
4301,0.4,5.0,5.0,0.0,RIGHT,1,0.29599762
4301,0.4,5.0,5.0,0.0,RIGHT,1,0.29499817
4301,0.4,5.0,5.0,0.0,RIGHT,1,0.29599
4301,0.4,5.0,5.0,0.0,RIGHT,1,0.29600525
4301,0.4,5.0,5.0,0.0,RIGHT,1,0.29499817
4301,0.4,5.0,5.0,0.0,RIGHT,1,0.29699707
4301,0.4,5.0,5.0,0.0,RIGHT,1,0.29499817
4301,0.4,5.0,5.0,0.0,RIGHT,1,0.29600525
4301,0.4,5.0,5.0,0.0,RIGHT,1,0.29499817
4301,0.4,5.0,5.0,0.0,RIGHT,1,0.29499817
4301,0.4,5.0,5.0,0.0,RIGHT,1,0.29499817
4301,0.4,5.0,5.0,0.0,RIGHT,1,0.29501343
4301,0.4,5.0,5.0,0.0,RIGHT,1,0.29499817
4301,0.4,5.0,5.0,0.0,RIGHT,1,0.29599
4301,0.4,5.0,5.0,0.0,RIGHT,1,0.29701233
4301,0.4,5.0,5.0,0.0,RIGHT,1,0.29499817
4301,0.4,5.0,5.0,0.0,RIGHT,1,0.29599
4301,0.4,5.0,5.0,0.0,RIGHT,1,0.29499817
4301,0.4,5.0,5.0,0.0,RIGHT,1,0.29501343
4301,0.4,5.0,5.0,0.0,RIGHT,1,0.29599
4301,0.4,5.0,5.0,0.0,RIGHT,1,0.29499817
4301,0.4,5.0,5.0,0.0,RIGHT,1,0.29600525
4301,0.4,5.0,5.0,0.0,RIGHT,1,0.29600525
4301,0.4,5.0,5.0,0.0,RIGHT,1,0.29499817
4301,0.4,5.0,5.0,0.0,RIGHT,1,0.29599
4301,0.4,5.0,5.0,0.0,RIGHT,1,0.29501343
4301,0.4,5.0,5.0,0.0,RIGHT,1,0.29499817
4301,0.4,5.0,5.0,0.0,RIGHT,1,0.29499817
4301,0.4,5.0,5.0,0.0,RIGHT,1,0.29499817
4301,0.4,5.0,5.0,0.0,RIGHT,1,0.29499817
4301,0.4,5.0,5.0,0.0,RIGHT,1,0.29499817
